state_o,state_d,pop_flows
17,49,6768.6
17,50,604.6
17,51,14209.6
17,53,7448.0
17,54,3970.8
17,55,162583.4
17,56,2728.4
17,72,4026.6
18,01,9174.0
18,02,194.2
18,04,11122.8
18,05,4180.2
18,06,14791.4
18,08,6956.8
18,09,996.6
18,10,346.6
18,11,951.2
18,12,89125.0
18,13,17579.4
18,15,2016.6
18,16,571.8
18,17,267945.8
18,19,7988.0
18,20,6075.0
18,21,152856.2
18,22,5400.0
18,23,367.8
18,24,2945.0
18,25,2125.2
18,26,68144.2
18,27,7087.4
18,28,3215.4
18,29,16080.0
18,30,876.2
18,31,2330.4
18,32,6818.2
18,33,455.4
18,34,3393.4
18,35,3059.2
18,36,9523.8
18,37,9460.6
18,38,670.4
18,39,119666.8
18,40,3402.2
18,41,1602.8
18,42,11650.6
18,44,301.4
18,45,7027.2
18,46,1053.0
18,47,26648.8
18,48,22125.2
18,49,2568.4
18,50,118.8
18,51,5810.4
18,53,2579.8
18,54,2486.0
18,55,13855.6
18,56,997.8
18,72,1245.4
19,01,3100.6
19,02,150.4
19,04,20362.6
19,05,1916.6
19,06,8429.8
19,08,7255.0
19,09,250.8
19,10,290.0
19,11,429.2
19,12,29144.4
19,13,6148.0
19,15,2716.0
19,16,1399.6
19,17,80617.6
19,18,6903.2
19,20,9212.8
19,21,2326.8
19,22,2638.2
19,23,181.8
19,24,1224.4
19,25,818.4
19,26,3969.6
19,27,48658.0
19,28,1852.0
19,29,27299.8
19,30,768.2
19,31,102401.4
19,32,5434.4
19,33,120.6
19,34,928.4
19,35,1640.8
19,36,3138.8
19,37,4996.2
19,38,2082.8
19,39,4116.0
19,40,4509.8
19,41,1554.2
19,42,3562.2
19,44,94.0
19,45,1393.8
19,46,20145.6
19,47,4705.2
19,48,17632.8
19,49,2554.0
19,50,144.4
19,51,2318.6
19,53,1711.8
19,54,495.2
19,55,22601.4
19,56,1306.0
19,72,369.6
20,01,1879.8
20,02,292.8
20,04,7140.2
20,05,5535.0
20,06,10894.0
20,08,15535.4
20,09,622.6
20,10,78.0
20,11,843.6
20,12,15021.8
20,13,4415.0
20,15,1406.4
20,16,1028.8
20,17,21369.8
20,18,6006.2
20,19,8542.6
20,21,2177.2
20,22,2532.8
20,23,176.8
20,24,891.4
20,25,927.8
20,26,2373.8
20,27,3249.2
20,28,2095.2
20,29,256066.0
20,30,773.6
20,31,14068.4
20,32,4937.8
20,33,178.4
20,34,905.0
20,35,2597.0
20,36,2512.6
20,37,2114.6
20,38,784.8
20,39,2901.4
20,40,44400.8
20,41,1058.6
20,42,2127.8
20,44,33.6
20,45,1161.2
20,46,1347.8
20,47,3798.6
20,48,33026.2
20,49,1828.0
20,50,61.8
20,51,2550.0
20,53,2646.0
20,54,632.2
20,55,1434.8
20,56,1081.8
20,72,438.2
21,01,11524.0
21,02,111.8
21,04,4173.6
21,05,4680.2
21,06,7494.4
21,08,3212.4
21,09,587.6
21,10,376.2
21,11,1730.4
21,12,39208.0
21,13,24836.0
21,15,1087.4
21,16,347.6
21,17,25470.6
21,18,123756.8
21,19,4247.0
21,20,3535.2
21,22,3519.6
21,23,171.2
21,24,3045.6
21,25,1101.2
21,26,7990.2
21,27,1854.0
21,28,4061.2
21,29,9632.6
21,30,319.8
21,31,1010.0
21,32,3392.8
21,33,416.0
21,34,2364.0
21,35,1410.0
21,36,8047.8
21,37,10400.0
21,38,292.0
21,39,155649.6
21,40,2051.6
21,41,841.0
21,42,9775.6
21,44,198.4
21,45,7135.0
21,46,414.6
21,47,113857.6
21,48,15219.4
21,49,1379.2
21,50,90.8
21,51,12951.8
21,53,1405.0
21,54,25672.4
21,55,2527.2
21,56,664.4
21,72,466.8
22,01,23056.4
22,02,585.2
22,04,7198.6
22,05,22978.8
22,06,9161.0
22,08,5863.6
22,09,308.2
22,10,86.6
22,11,2591.4
22,12,33219.8
22,13,13199.8
22,15,955.4
22,16,563.6
22,17,5578.2
22,18,2265.8
22,19,1942.0
22,20,4106.4
22,21,2878.0
22,23,163.6
22,24,1653.2
22,25,1536.2
22,26,3090.4
22,27,1279.2
22,28,79149.8
22,29,5343.6
22,30,560.0
22,31,867.8
22,32,3248.6
22,33,280.2
22,34,1714.0
22,35,3556.8
22,36,5779.4
22,37,5186.0
22,38,382.2
22,39,3535.4
22,40,8896.0
22,41,1081.6
22,42,3442.2
22,44,136.4
22,45,2891.6
22,46,387.6
22,47,10968.0
22,48,217560.6
22,49,1936.4
22,50,173.2
22,51,6210.4
22,53,1670.4
22,54,575.8
22,55,1150.6
22,56,803.6
22,72,960.2
23,01,817.8
23,02,57.8
23,04,1503.2
23,05,242.0
23,06,3002.4
23,08,781.0
23,09,4912.8
23,10,121.6
23,11,667.2
23,12,21762.2
23,13,1776.4
23,15,743.6
23,16,188.2
23,17,1407.8
23,18,642.0
23,19,610.6
23,20,671.4
23,21,484.6
23,22,717.2
23,24,1746.8
23,25,36885.6
23,26,738.8
23,27,592.2
23,28,395.6
23,29,743.6
23,30,354.4
23,31,143.6
23,32,561.2
23,33,51028.0
23,34,2414.6
23,35,309.6
23,36,21191.0
23,37,2541.4
23,38,151.0
23,39,1189.2
23,40,482.2
23,41,380.6
23,42,3642.2
23,44,1429.8
23,45,1685.0
23,46,31.2
23,47,1023.8
23,48,2908.2
23,49,826.4
23,50,2136.8
23,51,2971.8
23,53,581.4
23,54,277.2
23,55,5467.0
23,56,181.4
23,72,373.4
24,01,3400.0
24,02,301.2
24,04,5566.2
24,05,1785.0
24,06,18821.6
24,08,5944.6
24,09,4844.6
24,10,82258.2
24,11,452445.6
24,12,59173.4
24,13,14253.8
24,15,2755.6
24,16,572.0
24,17,8156.2
24,18,3241.4
24,19,2525.8
24,20,2602.2
24,21,2963.8
24,22,3913.8
24,23,935.8
24,25,7443.8
24,26,4357.0
24,27,1368.8
24,28,1753.4
24,29,4197.4
24,30,712.6
24,31,785.0
24,32,4779.2
24,33,1108.4
24,34,26713.6
24,35,1035.2
24,36,30186.6
24,37,21573.0
24,38,209.6
24,39,10225.4
24,40,1212.2
24,41,1292.2
24,42,96492.6
24,44,1217.8
24,45,12346.6
24,46,309.0
24,47,10344.6
24,48,17653.4
24,49,2357.0
24,50,974.4
24,51,270875.8
24,53,2040.8
24,54,30269.2
24,55,2005.2
24,56,471.2
24,72,2819.6
25,01,1882.4
25,02,305.2
25,04,6450.0
25,05,1227.4
25,06,29535.6
25,08,6122.2
25,09,141838.6
25,10,1520.0
25,11,5425.6
25,12,107610.0
25,13,9054.0
25,15,2810.4
25,16,296.4
25,17,12618.0
25,18,3311.4
25,19,1989.2
25,20,2200.4
25,21,1578.2
25,22,2478.0
25,23,24700.8
25,24,6550.4
25,26,3728.2
25,27,2356.8
25,28,910.6
25,29,2523.8
25,30,533.4
25,31,543.6
25,32,4964.4
25,33,151622.8
25,34,22428.6
25,35,908.0
25,36,94837.8
25,37,8972.8
25,38,200.2
25,39,5879.4
25,40,3832.0
25,41,1342.0
25,42,18240.6
25,44,106880.8
25,45,8827.0
25,46,211.2
25,47,5158.8
25,48,18161.0
25,49,2530.0
25,50,19800.2
25,51,12006.8
25,53,2719.4
25,54,1387.6
25,55,3598.0
25,56,506.0
25,72,7397.8
26,01,10914.6
26,02,725.6
26,04,26740.0
26,05,5380.0
26,06,37332.0
26,08,13624.4
26,09,1983.2
26,10,828.8
26,11,3642.8
26,12,276822.4
26,13,24020.4
26,15,9229.4
26,16,1422.6
26,17,81261.0
26,18,110476.2
26,19,7368.8
26,20,6871.6
26,21,16946.2
26,22,9113.8
26,23,576.4
26,24,5639.6
26,25,5016.4
26,27,11238.8
26,28,3986.4
26,29,13607.2
26,30,2179.2
26,31,2913.6
26,32,15229.8
26,33,982.6
26,34,6929.4
26,35,3190.4
26,36,22722.2
26,37,14468.6
26,38,681.6
26,39,169280.2
26,40,4157.6
26,41,4331.8
26,42,26111.2
26,44,896.2
26,45,16821.4
26,46,920.8
26,47,25682.8
26,48,37993.6
26,49,6131.0
26,50,390.0
26,51,10978.2
26,53,4755.8
26,54,2950.4
26,55,36808.0
26,56,2550.0
26,72,3781.4
27,01,3872.0
27,02,616.6
27,04,36111.0
27,05,2536.8
27,06,29484.2
27,08,11864.4
27,09,985.8
27,10,247.2
27,11,1208.8
27,12,93255.0
27,13,9240.0
27,15,9999.8
27,16,1644.8
27,17,40475.8
27,18,7653.4
27,19,42493.8
27,20,7258.2
27,21,2857.2
27,22,6125.0
27,23,261.8
27,24,1952.6
27,25,2274.0
27,26,8518.6
27,28,2134.6
27,29,12845.0
27,30,4076.2
27,31,12333.6
27,32,13845.2
27,33,259.6
27,34,1917.8
27,35,5002.0
27,36,5708.8
27,37,5524.8
27,38,80276.6
27,39,5786.2
27,40,4366.0
27,41,2387.0
27,42,5306.6
27,44,198.2
27,45,3487.8
27,46,28200.2
27,47,6723.6
27,48,28377.8
27,49,4014.4
27,50,86.4
27,51,3796.0
27,53,5622.8
27,54,507.4
27,55,99987.4
27,56,1681.0
27,72,1761.4
28,01,69721.6
28,02,206.6
28,04,2792.0
28,05,19831.8
28,06,4739.2
28,08,3019.8
28,09,524.2
28,10,211.2
28,11,675.0
28,12,22502.8
28,13,20733.6
28,15,565.2
28,16,4690.8
28,17,6314.6
28,18,2988.0
28,19,1628.6
28,20,2576.4
28,21,6208.4
28,22,102462.6
28,23,117.8
28,24,858.2
28,25,644.6
28,26,1997.0
28,27,944.4
28,29,6517.6
28,30,433.0
28,31,952.0
28,32,1669.4
28,33,123.2
28,34,853.0
28,35,1741.0
28,36,3183.8
28,37,4518.8
28,38,864.8
28,39,3306.4
28,40,3997.8
28,41,898.8
28,42,2581.0
28,44,24.6
28,45,3525.4
28,46,285.0
28,47,132716.6
28,48,39220.8
28,49,1355.6
28,50,49.2
28,51,3118.2
28,53,922.0
28,54,1165.8
28,55,1154.6
28,56,506.8
28,72,413.4
29,01,7315.8
29,02,411.2
29,04,14384.4
29,05,57215.8
29,06,19278.8
29,08,11395.2
29,09,648.8
29,10,356.8
29,11,1329.6
29,12,42270.4
29,13,13110.2
29,15,3005.4
29,16,1773.4
29,17,173072.2
29,18,27002.0
29,19,28259.4
29,20,242816.0
29,21,10000.4
29,22,6904.4
29,23,263.6
29,24,2987.0
29,25,2218.0
29,26,6959.6
29,27,7565.4
29,28,7357.6
29,30,1212.4
29,31,10851.4
29,32,6542.2
29,33,345.2
29,34,2883.4
29,35,4095.4
29,36,6554.8
29,37,6553.8
29,38,806.0
29,39,10805.2
29,40,32248.0
29,41,3110.0
29,42,6263.2
29,44,209.2
29,45,4113.2
29,46,1531.2
29,47,17155.0
29,48,47984.8
29,49,3476.6
29,50,213.2
29,51,5603.2
29,53,3251.2
29,54,1232.8
29,55,5969.6
29,56,1555.0
29,72,712.0
30,01,590.2
30,02,376.0
30,04,6639.6
30,05,371.6
30,06,9428.6
30,08,9236.2
30,09,91.75
30,10,52.4
30,11,400.2
30,12,4408.8
30,13,1307.4
30,15,4332.0
30,16,11147.4
30,17,1383.8
30,18,571.0
30,19,879.8
30,20,762.6
30,21,405.8
30,22,1089.6
30,23,67.8
30,24,377.6
30,25,262.6
30,26,714.0
30,27,2432.2
30,28,492.8
30,29,986.0
30,31,742.0
30,32,5475.6
30,33,48.0
30,34,235.8
30,35,779.0
30,36,634.4
30,37,2970.6
30,38,8671.2
30,39,731.4
30,40,1091.8
30,41,3837.4
30,42,556.8
30,44,66.66666666666667
30,45,314.2
30,46,1996.2
30,47,781.8
30,48,6890.6
30,49,22098.2
30,50,47.4
30,51,849.6
30,53,11342.0
30,54,104.8
30,55,810.6
30,56,7229.4
30,72,62.0
31,01,1334.6
31,02,87.4
31,04,11781.2
31,05,1437.6
31,06,6732.4
31,08,16955.2
31,09,132.2
31,10,128.6
31,11,426.4
31,12,11162.6
31,13,3791.6
31,15,854.8
31,16,954.2
31,17,9665.8
31,18,1938.2
31,19,83945.6
31,20,17099.6
31,21,1072.2
31,22,1348.6
31,23,86.0
31,24,590.0
31,25,470.4
31,26,1417.6
31,27,7858.0
31,28,987.4
31,29,12421.8
31,30,393.6
31,32,4357.4
31,33,100.6
31,34,520.8
31,35,1562.0
31,36,1175.4
31,37,2764.2
31,38,2112.8
31,39,1903.2
31,40,3557.6
31,41,694.8
31,42,1473.8
31,44,31.4
31,45,998.6
31,46,12538.8
31,47,1982.6
31,48,15587.2
31,49,1642.0
31,50,60.5
31,51,1602.0
31,53,1245.6
31,54,173.4
31,55,1994.6
31,56,4809.6
31,72,147.6
32,01,2022.0
32,02,989.8
32,04,36853.4
32,05,1008.0
32,06,165662.4
32,08,6990.6
32,09,387.6
32,10,166.8
32,11,638.0
32,12,10865.2
32,13,3472.8
32,15,7014.2
32,16,5252.6
32,17,5794.0
32,18,2067.2
32,19,2121.0
32,20,2214.2
32,21,710.0
32,22,2592.8
32,23,88.8
32,24,1184.8
32,25,1344.2
32,26,2626.6
32,27,2293.4
32,28,1109.6
32,29,2895.2
32,30,1488.6
32,31,1397.8
32,33,437.8
32,34,2175.6
32,35,11786.6
32,36,4541.4
32,37,1966.8
32,38,594.4
32,39,3403.4
32,40,2545.4
32,41,6611.2
32,42,2898.4
32,44,161.4
32,45,929.2
32,46,734.0
32,47,2925.0
32,48,19307.8
32,49,25264.8
32,50,54.0
32,51,2218.0
32,53,6686.0
32,54,255.4
32,55,1710.8
32,56,1219.0
32,72,957.4
33,01,634.0
33,02,62.8
33,04,1744.6
33,05,220.4
33,06,5059.8
33,08,1465.2
33,09,12620.6
33,10,539.2
33,11,950.8
33,12,26722.8
33,13,1963.0
33,15,988.6
33,16,224.8
33,17,2127.4
33,18,1113.8
33,19,508.6
33,20,1032.2
33,21,585.8
33,22,424.2
33,23,30392.8
33,24,2077.6
33,25,178983.4
33,26,1052.4
33,27,942.8
33,28,148.0
33,29,913.2
33,30,113.4
33,31,170.2
33,32,840.6
33,34,3690.4
33,35,344.0
33,36,16977.2
33,37,2384.6
33,38,42.8
33,39,1947.4
33,40,1216.4
33,41,661.0
33,42,3969.0
33,44,2719.0
33,45,2126.0
33,46,64.2
33,47,1517.8
33,48,3781.8
33,49,866.6
33,50,31571.6
33,51,3263.6
33,53,724.4
33,54,420.8
33,55,2945.0
33,56,289.4
33,72,847.0
34,01,3460.8
34,02,176.2
34,04,6330.2
34,05,1422.2
34,06,28437.0
34,08,6079.6
34,09,28915.2
34,10,37384.4
34,11,8746.4
34,12,120687.6
34,13,12603.2
34,15,2514.4
34,16,337.0
34,17,10487.6
34,18,5474.6
34,19,2486.6
34,20,3067.4
34,21,2291.4
34,22,4050.2
34,23,1911.0
34,24,22828.4
34,25,20525.0
34,26,6101.6
34,27,3156.0
34,28,1288.6
34,29,3528.0
34,30,705.4
34,31,1142.6
34,32,6557.6
34,33,2055.8
34,35,1053.6
34,36,724731.6
34,37,17152.2
34,38,85.8
34,39,13918.0
34,40,1142.2
34,41,1265.0
34,42,306524.8
34,44,2086.2
34,45,12920.8
34,46,256.0
34,47,7962.8
34,48,24145.6
34,49,3351.8
34,50,6398.0
34,51,23330.0
34,53,2317.6
34,54,1480.0
34,55,2451.0
34,56,625.4
34,72,6656.4
35,01,1461.4
35,02,227.6
35,04,39392.2
35,05,1515.2
35,06,19376.2
35,08,22704.0
35,09,163.2
35,10,160.0
35,11,739.6
35,12,6151.6
35,13,2720.2
35,15,1444.2
35,16,1718.2
35,17,2936.4
35,18,5162.2
35,19,1484.6
35,20,2815.0
35,21,1761.2
35,22,5893.4
35,23,136.6
35,24,898.8
35,25,776.6
35,26,1374.8
